,100,500,5000,10000,50000,100000,500000,1000000,5000000,10000000,50000000,100000000
Linear SVR; New York City Taxi Trip Duration; R^2,-1.89147110703,-1.34151281512,-0.0882541436366,-0.260130897317,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Linear SVR; New York City Taxi Trip Duration; RMSE,1226.3455739173467,1212.5303020268539,3231.979220230229,1891.3166828958074,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
